;"            Абсорбер бампера заднего 866202D600 ELANTRA";"866202D600";1,317.00 руб
;"            Абсорбер бампера заднего 866202H010 NEW ELANTRA";"866202H010";1,240.00 руб
;"            Абсорбер бампера переднего 865202D100 ELANTRA";"865202D100";853.00 руб
;"            Абсорбер бампера переднего 865202H010 NEW ELANTRA";"865202H010";1,488.00 руб
;"            Амортизатор задний левый 553512D100 ELANTRA";"553512D100";1,909.00 руб
;"            Амортизатор передний левый 546512D100 ELANTRA";"546512D100 ";2,490.00 руб
;"            Амортизатор передний правый 546612D100 ELANTRA";"546612D100 ";2,453.00 руб
;"            Барабан тормозной задний 5841117200 ELANTRA, MATRIX";5841117200;1,262.00 руб
;"            Бачок омывателя лобового стекла 986202H000 NEW ELANTRA";"986202H000";925.00 руб
;"            Бачок расширительный 254312H000 NEW ELANTRA";"254312H000";372.00 руб
;"            Болт переднего рычага 5456029010 LANTRA";5456029010;120.00 руб
;"            Болт стабилизатора переднего 548302D000 ELANTRA, SONATA3";"548302D000";340.00 руб
;"            Болт стабилизатора переднего 5483034000 ELANTRA, SONATA3 см 548302D000";5483034000;340.00 руб
;"            Вентилятор охлаждения двигателя (с кондиционером) 253802H020 NEW ELANTRA";"253802H020";4,340.00 руб
;"            Втулка стабилизатора заднего 555132D100 ELANTRA";"555132D100";129.00 руб
;"            Датчик АБС задний левый 956802D050 ELANTRA";"956802D050";1,396.00 руб
;"            Датчик положения коленвала 3918023500 ELANTRA, COUPE, MATRIX, SONATA, TRAJET, TIBURON,TUCSON";3918023500;1,890.00 руб
;"            Дверь задняя левая 770032D040 ELANTRA";"770032D040";7,322.00 руб
;"            Дверь задняя левая 770032H010 NEW ELANTRA";"770032H010";9,300.00 руб
;"            Дверь задняя правая 770042D040 ELANTRA";"770042D040";7,647.00 руб
;"            Дверь задняя правая 770042H010 NEW ELANTRA";"770042H010";9,300.00 руб
;"            Дверь передняя левая 760032D002/42 ELANTRA";"760032D002";10,043.00 руб
;"            Дверь передняя левая 760032H010 NEW ELANTRA";"760032H010";9,998.00 руб
;"            Дверь передняя правая 760042D002/42 ELANTRA";"760042D002";7,445.00 руб
;"            Дверь передняя правая 760042H010 NEW ELANTRA";"760042H010";9,998.00 руб
;"            Дефлекторы комплект DEFLE29000 AVANTE";"DEFLE29000";350.00 руб
;"            Дефлекторы комплект DEFLE2D000 ELANTRA";"DEFLE2D000";550.00 руб
;"            Диск сцепления 4110028021 ELANTRA -2000, TIBURON, COUPE";4110028021;2,197.00 руб
;"            Диск сцепления 4110028060 ELANTRA 1,8-2,0";4110028060;1,936.00 руб
;"            Диск тормозной передний 517122D310 ELANTRA, MATRIX";"517122D310";1,970.00 руб
;"            Замок капота 811302D500 ELANTRA";"811302D500";320.00 руб
;"            Замок капота 811302H000 NEW ELANTRA";"811302H000";558.00 руб
;"            Замок крышки багажника 812302D500 ELANTRA";"812302D500";235.00 руб
;"            Зеркало левое электрическое с подогревом  876102D110 ELANTRA";"876102D110";3,120.00 руб
;"            Капот 664002D501/521 ELANTRA 03-";"664002D501";8,139.00 руб
;"            Капот 664002H010 NEW ELANTRA";"664002H010";8,897.00 руб
;"            Кожух защитный диска тормозного переднего левого 517552D020 ELANTRA";"517552D020";194.00 руб
;"            Кожух защитный диска тормозного переднего правого 517562D020 ELANTRA";"517562D020";194.00 руб
;"            Кольца поршневые стандартные 2304024200/24230_OEM ELANTRA ";2304024200;1,515.00 руб
